ID,Genero,Casado,Edad,Graduado,Profesion,Experiencia laboral,Gastoscore,Family_Size,Generacion,Ingresos anuales brutos,Provincia,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente,Cluster_k4,Cluster_k5
0.1775104118463674,1.0,0.0,0.0512820512820513,0.0,0.375,1.0,0.5,0.375,0.6666666666666666,0.0164632078670735,0.5714285714285714,0.2228260869565217,0.0,0.0,0.4350877192982456,0,2
0.2803331790837575,0.0,1.0,0.282051282051282,1.0,0.5,0.0,1.0,0.25,1.0,0.8994913530010173,0.7142857142857142,0.6793478260869565,0.0,0.0,0.7456140350877193,3,3
0.3831559463211476,0.0,1.0,0.6923076923076923,1.0,0.5,0.0,0.5,0.0,0.3333333333333333,0.352068497795863,0.1224489795918367,0.3967391304347826,0.1176470588235294,0.0,0.6140350877192982,2,4
0.4859787135585377,1.0,1.0,0.6923076923076923,1.0,1.0,0.0,0.0,0.125,0.3333333333333333,0.5957104103085793,0.2857142857142857,0.092391304347826,0.1176470588235294,1.0,0.6263157894736842,3,3
0.5888014807959279,0.0,1.0,0.3076923076923077,1.0,0.875,0.0,0.0,0.625,0.3333333333333333,0.6677941675144117,1.0,0.6684782608695652,0.0,1.0,0.4719298245614035,3,0
0.6916242480333179,1.0,1.0,0.5384615384615384,0.0,0.0,0.0,1.0,0.125,0.3333333333333333,0.3584011529331977,0.6530612244897959,0.2934782608695652,0.0,0.0,0.4350877192982456,0,2
0.794447015270708,1.0,0.0,0.1923076923076923,1.0,0.375,0.5,0.5,0.25,1.0,0.0752967107494065,0.0408163265306122,0.1630434782608695,0.0,0.0,0.3578947368421052,0,2
0.8972697825080981,0.0,0.0,0.2051282051282051,1.0,0.375,0.5,0.5,0.25,1.0,0.1342573753814852,0.4285714285714285,0.5271739130434783,0.0,0.0,0.8947368421052632,2,4
0.0,0.0,1.0,0.6025641025641025,1.0,0.5,0.0,0.5,0.25,0.3333333333333333,0.6903950491692099,0.7551020408163265,0.4347826086956521,0.2941176470588235,1.0,0.2894736842105263,3,0
0.0850532161036557,0.0,1.0,0.5256410256410257,1.0,0.0,0.0,1.0,0.375,0.3333333333333333,0.716522550016955,0.183673469387755,0.4347826086956521,0.2941176470588235,0.0,0.7947368421052631,3,3
0.0953262378528459,0.0,0.0,0.1153846153846154,1.0,0.5,1.0,0.5,0.25,1.0,0.0720668023058664,0.2244897959183673,0.9402173913043478,0.0,0.0,0.7298245614035087,1,4
0.1055992596020361,1.0,0.0,0.0128205128205128,0.0,0.375,1.0,0.5,0.375,0.6666666666666666,0.0748050186503899,0.9387755102040816,0.858695652173913,0.0,1.0,0.507017543859649,1,1
0.1158722813512262,0.0,0.0,0.0128205128205128,0.0,0.25,1.0,0.5,0.0,0.6666666666666666,0.0152170227195659,0.5510204081632653,0.4239130434782608,0.0,0.0,0.1157894736842105,0,2
